"Country","PT","PGR","PUP","P60P","P15P","TFR","IMR","I3R","HER","HGR","HGGR","NDP","NNMP","NPP","NMP","HPP","HPHP","NMPP","HGDP","DR1","DR2","DR3","DR4","TBN","NMN","YCP","YIP","YNCP"
"Seychelles",86,0.7,51,10,24,1.7,99,99,3.4,74.2,8.8,94,634,121,79,62.5,25.8,5.3,6.8,131,336,69,657,33,7,16,21,64
"Sierra Leone",5743,2.8,41,5,43,6.5,67,64,45.1,49,7.8,5,2510,168,5,100,51,16.3,3.5,181,515,250,1017,517,56,86,8,6
"Singapore",4382,1.3,100,13,19,1.3,95,96,0,33.6,5.4,1190,19090,6380,45,94,66.4,3,3.4,128,171,23,376,26,1,9,12,79
"Slovakia",5388,0,56,16,16,1.2,99,99,0,73.9,13.8,2441,35757,16868,66,88.2,26.1,2.1,7,170,371,50,636,15,4,4,14,81
"Slovenia",2001,0.1,51,21,14,1.3,96,97,0,73,13.5,1198,15711,4723,80,44.1,27,3.3,8.4,160,228,59,503,13,2,4,17,80
"Solomon Islands",484,2.4,17,5,40,4,78,79,24.8,93,12.6,26,653,60,14,54.8,7,10.5,4.7,90,409,37,786,135,23,49,7,44
"Somalia",8445,3,36,4,44,6.2,34,39,9.3,44.6,4.2,15,1486,310,2,100,55.4,4.8,2.6,143,580,235,1086,218,49,76,11,14
"South Africa",48282,0.7,60,7,32,2.7,83,97,0.8,41.9,9.9,5995,184459,34829,41,17.5,58.1,5.3,8.6,154,410,120,808,940,17,77,8,15
"Spain",43887,1.1,77,22,14,1.4,97,96,0,72.5,15.3,23300,328891,135300,76,76.4,27.5,2.3,8.1,131,137,31,395,30,2,6,13,81
"Sri Lanka",19207,0.5,15,10,24,1.9,98,98,1.2,49.2,8.3,1245,33233,10479,17,85.8,50.8,3.1,4.2,118,314,82,711,60,8,19,20,61
"Sudan",37707,2.2,42,6,40,4.4,79,84,6.4,37.1,6.3,944,33354,11083,9,98.7,62.9,3,3.8,112,499,163,903,242,27,60,17,23
"Suriname",455,0.6,74,9,29,2.5,85,84,8,41.9,8,4,688,191,16,51.9,58.1,3.6,7.4,133,421,86,781,64,17,37,18,45
"Swaziland",1134,0.8,24,5,39,3.6,91,95,13.7,62,9.4,32,6828,171,63,41.7,38,39.4,5.9,162,364,72,732,1155,40,91,4,5
"Sweden",9078,0.4,84,24,17,1.8,96,99,0,81.2,13.4,7270,97005,29190,109,87.9,18.8,3.3,8.9,116,176,30,379,6,2,4,11,85
"Switzerland",7455,0.4,76,21,16,1.4,86,93,0,60.3,19.6,3847,79153,28812,110,76.2,39.7,2.8,11.3,116,142,32,358,7,3,5,13,82
"Syria",19408,2.7,51,5,36,3.2,98,99,0.8,47.6,5.9,2306,27288,10342,14,100,52.4,2.6,3.9,60,410,49,728,32,7,30,15,56
"Tajikistan",6640,1.4,25,5,39,3.5,85,86,6.4,22.6,5.5,1003,33165,13267,50,97,77.4,2.5,5,90,753,64,1036,204,38,49,10,41
"Tanzania",39459,2.5,25,5,44,5.3,90,83,35.4,59.2,13.3,267,13292,822,4,83.4,40.8,18.5,5.5,151,435,115,847,312,35,85,6,8
"Thailand",63444,0.7,33,12,21,1.8,96,98,0.3,64.4,11.3,10459,172477,22435,28,76.6,35.6,7.6,3.5,129,199,74,559,142,9,43,17,40
"Timor-Leste",1114,4.3,27,5,45,6.7,63,70,44.6,88.8,16.4,45,1795,79,22,37.2,11.2,21.9,16.4,118,441,112,814,556,29,63,11,26
"Togo",6410,2.7,41,5,43,5,80,88,15,27.8,6.9,19,1937,225,4,84.7,72.2,9.8,5.5,147,427,117,831,389,39,79,9,12
"Tonga",100,0.5,24,9,37,3.8,99,99,32.9,75.3,11.1,10,350,30,34,84.5,24.7,11.7,5.4,85,363,29,684,25,12,29,9,62
"Trinidad and Tobago",1328,0.4,13,10,22,1.6,91,88,2.5,54.1,6.9,107,3653,1004,29,88,45.9,3.6,4.2,121,379,50,729,8,10,40,10,50
"Tunisia",10215,1.1,66,9,25,1.9,98,98,0.9,43.7,6.5,2452,28537,13330,29,81.7,56.3,2.1,5.3,78,417,72,685,25,13,18,19,63
"Turkey",73922,1.3,68,8,28,2.2,96,96,0,71.5,16.5,23798,217685,116014,29,70.3,28.5,1.9,5.6,95,542,42,757,29,16,31,13,56
"Turkmenistan",4899,1.4,47,6,31,2.6,99,98,0.1,66.7,14.9,703,23026,12210,47,100,33.3,1.9,4.8,99,844,74,1115,65,37,35,13,52
"Tuvalu",10,0.4,46,8,34,3,95,97,4,92.3,16.1,2,50,10,46,20,7.7,5,11.4,129,541,69,1046,295,21,34,11,55
"Uganda",29899,3.2,13,4,49,6.6,68,64,28.5,26.9,10,363,18969,2209,7,51.8,73.1,8.9,7.2,146,422,154,824,355,30,84,8,8
"Ukraine",46557,-0.8,68,21,14,1.2,98,98,0.5,55,8.8,19169,388444,143728,85,91.4,45,2.7,7,139,637,135,891,106,7,9,20,71
"United Arab Emirates",4248,3.5,77,2,20,2.3,92,92,0,72.9,8.7,850,10340,4960,35,77.9,27.1,2.1,2.6,100,369,72,625,16,4,12,28,59
"United Kingdom",60512,0.4,90,22,18,1.8,86,92,0,87.4,16.5,58729,740731,133641,128,92.2,12.6,5.5,8.4,143,182,26,434,15,3,10,9,82
"United States of America",302841,1,81,17,21,2.1,93,96,0,45.8,19.1,463663,2669603,730801,94,23.5,54.2,3.7,15.3,134,188,47,460,4,4,9,17,75
"Uruguay",3331,0.2,92,18,24,2.1,96,94,0.5,43.5,9.2,3936,2880,12384,9,31.1,56.5,0.2,8.2,170,208,55,518,27,7,12,15,72
"Uzbekistan",26981,1.4,37,6,32,2.6,99,96,1.7,50.2,8,5194,290162,70564,109,97.1,49.8,4.1,4.7,74,663,50,899,121,26,30,13,57
"Venezuela",27191,1.7,94,8,31,2.6,55,71,0.1,49.5,9.3,13680,28000,48000,11,88.6,50.5,0.6,5.1,107,241,90,496,41,11,24,32,45
"Yemen",21732,3,28,4,45,5.6,74,87,24.6,46.4,5.6,850,13746,6739,7,95.2,53.6,2,4.6,108,553,102,956,78,41,61,11,28
"Zambia",11696,1.9,35,5,46,5.3,85,80,37.2,46.8,10.8,491,22010,1264,20,71.1,53.2,16.8,5.2,122,359,58,700,553,40,92,2,6
"Zimbabwe",13228,0.8,36,5,39,3.3,66,62,18.7,52.6,8.9,310,9357,2086,7,50.8,47.4,4.5,8.4,122,347,103,685,557,36,90,4,7
